Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:17:43:02.100,61,0.0000000000,0.0000000000,0.0000000000,0.0546940900,0.1268461794,0.0179570559,0.2338307351,0.0000000000,0.0000000000,0.1273228228,0.0000000000,0.1261765510,0.0179506391,0.2337889373,0.0000000000,0.0010326224,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0372889861,0.0301444679,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000862701,0.0070386995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0141798127,0.0141722038,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0441261269,-0.0301864669,-0.0000341944,-0.0736337006,-0.0810204297,0.0066121821,-0.0807770342,-0.0810047835,0.0006339562
23:17:43:03.102,61,0.0000000000,0.0000000000,0.0000000000,0.0424434580,0.1251738816,0.0181743354,0.2339585125,0.0000000000,0.0000000000,0.1146892160,0.0000000000,0.1245774627,0.0181678310,0.2339153737,0.0000000000,0.0010211155,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0373467170,0.0300813187,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001070422,0.0071594841,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0159528181,0.0159460045,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0441261269,-0.0301864669,-0.0000341944,-0.0663275123,-0.0802781954,0.0061367811,-0.0733060539,-0.0802625939,0.0002007189
23:17:43:04.104,61,0.0000000000,0.0000000000,0.0000000000,0.0251059905,0.1258869469,0.0183636360,0.2341822535,0.0000000000,0.0000000000,0.0966928527,0.0000000000,0.1253809631,0.0183570441,0.2341355383,0.0000000000,0.0009522399,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0372105911,0.0297865346,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000631239,0.0071928548,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0177702960,0.0177562349,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0441261269,-0.0301864669,-0.0000341944,-0.0559125207,-0.0805773437,0.0055959728,-0.0627307445,-0.0805618465,-0.0003729246
23:17:43:05.105,61,0.0000000000,0.0000000000,0.0000000000,0.0182325002,0.1266584843,0.0185351353,0.2346970886,0.0000000000,0.0000000000,0.0895935521,0.0000000000,0.1261869222,0.0185284335,0.2346472442,0.0000000000,0.0008947143,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0374728665,0.0298166163,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000563440,0.0072583151,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0193966217,0.0193764940,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0441261269,-0.0301864669,-0.0000341944,-0.0518030860,-0.0809109360,0.0053986856,-0.0585380904,-0.0808954686,-0.0005997380
23:17:43:06.107,61,0.0000000000,0.0000000000,0.0000000000,0.0139913214,0.1265860796,0.0187731814,0.2353784740,0.0000000000,0.0000000000,0.0851712599,0.0000000000,0.1261380315,0.0187663846,0.2353239357,0.0000000000,0.0008262041,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0379581712,0.0299650449,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002228958,0.0074057193,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0202785321,0.0202538259,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000778,0.0441261269,-0.0301864669,-0.0000341944,-0.0492443629,-0.0808779150,0.0052549811,-0.0559512749,-0.0808624700,-0.0007431290
23:17:43:07.109,61,0.0000000000,0.0000000000,0.0000000000,0.0106062442,0.1270147413,0.0189503245,0.2359178811,0.0000000000,0.0000000000,0.0816811249,0.0000000000,0.1265836209,0.0189434495,0.2358587384,0.0000000000,0.0007597088,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0385043696,0.0301782954,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003804159,0.0075467331,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210807901,0.0210515559,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001646,0.0431564972,-0.0313453861,0.0008152034,-0.0472240858,-0.0810640454,0.0051583247,-0.0538865328,-0.0810486525,-0.0008560809
23:17:43:08.110,61,0.0000000000,0.0000000000,0.0000000000,0.0077607064,0.1222746000,0.0188865531,0.2366764247,0.0000000000,0.0000000000,0.0787692666,0.0000000000,0.1218735278,0.0188796297,0.2366134673,0.0000000000,0.0007668451,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0389614515,0.0303383544,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003933556,0.0076558245,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0216448791,0.0216116905,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000002385,0.0418186858,-0.0332992673,0.0020040032,-0.0455478542,-0.0789955258,0.0049062520,-0.0521514937,-0.0789798126,-0.0009621598
23:17:43:09.111,61,0.0000000000,0.0000000000,0.0000000000,0.0035458531,0.1243632659,0.0188280325,0.2374426723,0.0000000000,0.0000000000,0.0742362738,0.0000000000,0.1239794120,0.0188210774,0.2373767495,0.0000000000,0.0008099986,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0393360257,0.0305317175,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004833298,0.0078341570,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0223070532,0.0222704150,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000002983,0.0403514169,-0.0342279375,0.0025132000,-0.0429210626,-0.0799063146,0.0048342054,-0.0495803468,-0.0798906982,-0.0010974918
23:17:43:10.115,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1292045116,0.0188228115,0.2379335016,0.0000000000,0.0000000000,0.0698091313,0.0000000000,0.1288307607,0.0188158490,0.2378622890,0.0000000000,0.0008450943,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0389984772,0.0301297065,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006224521,0.0080237137,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0228534043,0.0228104182,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001717,0.0391544774,-0.0339345969,0.0021029096,-0.0403509103,-0.0820183903,0.0048468071,-0.0471218936,-0.0820029601,-0.0012316543
23:17:43:11.115,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1253957152,0.0185988918,0.2380161583,0.0000000000,0.0000000000,0.0660965666,0.0000000000,0.1250517517,0.0185919907,0.2379401177,0.0000000000,0.0009017116,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0381596945,0.0295784809,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007088690,0.0081573324,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0234506950,0.0234014951,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000776,0.0380144939,-0.0323223583,0.0007112660,-0.0382092632,-0.0803569257,0.0046104393,-0.0449859984,-0.0803412199,-0.0013481423
