Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:15:55:32.897,61,0.0000000000,0.0829260796,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1040562615,0.0000000000,0.0827137306,0.0387802571,0.0000000000,0.0000000000,0.0000000000,0.1041149721,0.0000000000,0.0039355122,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044938819,0.0063167783,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000013594,-0.0351758711,0.0054414440,0.0187596437,-0.0223356895,0.0484999903,-0.0031825812,-0.0256142393,0.0485227704,0.0004045714
23:15:55:33.899,61,0.0000000000,0.0830965564,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1039672941,0.0000000000,0.0828781128,0.0398245640,0.0000000000,0.0000000000,0.0000000000,0.1040238291,0.0000000000,0.0039269095,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0046597640,0.0062812427,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000014136,-0.0351758711,0.0054414440,0.0187596437,-0.0229388140,0.0485987477,-0.0032327157,-0.0262225010,0.0486216024,0.0003615029
23:15:55:34.900,61,0.0000000000,0.0836903006,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1039643884,0.0000000000,0.0834712982,0.0398047268,0.0000000000,0.0000000000,0.0000000000,0.1040196493,0.0000000000,0.0039492194,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0048139477,0.0061941426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000011382,-0.0351758711,0.0054414440,0.0187596437,-0.0229259394,0.0489463471,-0.0032507223,-0.0262094270,0.0489691868,0.0003698870
23:15:55:35.902,61,0.0000000000,0.0847142115,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1041703522,0.0000000000,0.0844922438,0.0400793143,0.0000000000,0.0000000000,0.0000000000,0.1042254046,0.0000000000,0.0039834576,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0048917886,0.0061184769,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000009472,-0.0351758711,0.0054414440,0.0187596437,-0.0230821744,0.0495453440,-0.0032951594,-0.0263633542,0.0495683327,0.0003710708
23:15:55:36.904,61,0.0000000000,0.0846274421,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1044399813,0.0000000000,0.0844058767,0.0400394388,0.0000000000,0.0000000000,0.0000000000,0.1044943631,0.0000000000,0.0040155784,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0049187010,0.0060845129,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000003153,-0.0351758711,0.0054414440,0.0187596437,-0.0230593421,0.0494946428,-0.0032906677,-0.0263502970,0.0495175719,0.0003709788
23:15:55:37.905,61,0.0000000000,0.0846526995,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1047546118,0.0000000000,0.0844307318,0.0401444770,0.0000000000,0.0000000000,0.0000000000,0.1048080996,0.0000000000,0.0040151887,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0048764655,0.0060393787,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001656,-0.0351758711,0.0054414440,0.0187596437,-0.0231199823,0.0495094471,-0.0032960381,-0.0264270585,0.0495322198,0.0003655105
23:15:55:38.907,61,0.0000000000,0.0847512931,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1051556915,0.0000000000,0.0845297277,0.0400102362,0.0000000000,0.0000000000,0.0000000000,0.1052081063,0.0000000000,0.0040123430,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047711590,0.0059704091,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000003609,-0.0348789431,0.0050037205,0.0186267756,-0.0230421759,0.0495671518,-0.0032933420,-0.0263640154,0.0495900512,0.0003714805
23:15:55:39.908,61,0.0000000000,0.0848808289,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1052054241,0.0000000000,0.0846598893,0.0398475043,0.0000000000,0.0000000000,0.0000000000,0.1052569300,0.0000000000,0.0040085358,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0046679857,0.0059039420,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000007112,-0.0348140039,0.0048304768,0.0193132106,-0.0229478329,0.0496430583,-0.0032903859,-0.0262818635,0.0496660024,0.0003792843
23:15:55:40.910,61,0.0000000000,0.0852087662,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1050366983,0.0000000000,0.0849872380,0.0398979895,0.0000000000,0.0000000000,0.0000000000,0.1050879732,0.0000000000,0.0040085777,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045853271,0.0058597103,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000019133,-0.0343312025,0.0044300640,0.0198804457,-0.0229762085,0.0498350225,-0.0033030077,-0.0263146311,0.0498579070,0.0003808859
23:15:55:41.912,61,0.0000000000,0.0841644779,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1044926420,0.0000000000,0.0839461237,0.0395618118,0.0000000000,0.0000000000,0.0000000000,0.1045418009,0.0000000000,0.0039788098,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045230687,0.0058156871,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000025200,-0.0341412015,0.0051876800,0.0210053064,-0.0227844380,0.0492240600,-0.0032552751,-0.0261241216,0.0492468998,0.0003822072
