Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:15:40:59.514,61,0,0.075199962,0,0,0,0,0.118145764,0,0.075161114,0.007190055,0,0,0,0.118214734,0,1.21E-05,0,0,0,0,0,0,0.001130724,0,0,0.003926272,0.006646521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019799855,0.019892482,0,0,0,0,0,1.03E-07,0.00400309,-0.010089949,-0.00218853,-0.004090793,0.044016842,-0.001668718,-0.006662641,0.044041202,0.001628148
23:15:41:00.515,61,0,0.073730789,0,0,0,0,0.11572054,0,0.073695287,0.00652354,0,0,0,0.115781479,0,0,0,0,0,0,0,0,0.001233156,0,0,0.00385086,0.006521154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01985787,0.019952187,0,0,0,0,0,5.70E-09,0.00400309,-0.010089949,-0.00218853,-0.003707565,0.043157522,-0.00161172,-0.006271947,0.043181717,0.001619865
23:15:41:01.517,61,0,0.073101811,0,0,0,0,0.114744097,0,0.073067889,0.006183581,0,0,0,0.114802569,0,0,0,0,0,0,0,0,0.001290806,0,0,0.003757207,0.006329279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019922996,0.020021183,0,0,0,0,0,0,0.00400309,-0.010089949,-0.00218853,-0.003511909,0.042789679,-0.001585357,-0.006065156,0.042813875,0.001618825
23:15:41:02.519,61,0,0.072887339,0,0,0,0,0.114210814,0,0.072854817,0.005931103,0,0,0,0.114268869,0,1.48E-05,0,0,0,0,0,0,0.001306169,0,0,0.003692154,0.006240386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019903207,0.020005945,0,0,0,0,0,0,0.00400309,-0.010089949,-0.00218853,-0.003366239,0.042664554,-0.001571013,-0.005919538,0.042688668,0.001623579
23:15:41:03.520,61,0,0.072896905,0,0,0,0,0.114112899,0,0.072867036,0.005389786,0,0,0,0.114172339,0,7.66E-05,0,0,0,0,0,0,0.001346134,0,0,0.003706124,0.006182862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019879662,0.019988481,0,0,0,0,0,0,0.00400309,-0.010089949,-0.00218853,-0.003053263,0.042670969,-0.001549829,-0.005603846,0.042695165,0.001645434
23:15:41:04.522,61,0,0.072909534,0,0,0,0,0.113719538,0,0.072880887,0.005162083,0,0,0,0.113782398,0,0.000123555,0,0,0,0,0,0,0.001356502,0,0,0.003728944,0.006226674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019606987,0.019723313,0,0,0,0,0,0,0.00400309,-0.010089949,-0.00218853,-0.002921592,0.042678762,-0.001541092,-0.00547393,0.042702943,0.001654643
23:15:41:05.523,61,0,0.072508685,0,0,0,0,0.112738214,0,0.072482653,0.004642647,0,0,0,0.112811722,0,0.000199103,0,0,0,0,0,0,0.001362828,0,0,0.003736248,0.006233969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019331928,0.019455753,0,0,0,0,0,0.000000122,0.00400309,-0.010089949,-0.00218853,-0.002621822,0.042444874,-0.001512604,-0.005179085,0.042468973,0.001664878
23:15:41:06.525,61,0,0.07275229,0,0,0,0,0.111923248,0,0.072731979,0.003524743,0,0,0,0.112002686,0,0.000272585,0,0,0,0,0,0,0.001412534,0,0,0.003775666,0.006180864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018847155,0.018976735,0,0,0,0,0,3.84E-07,0.00400309,-0.010089949,-0.00218853,-0.001975179,0.042589385,-0.001473359,-0.004538458,0.042613544,0.001714755
23:15:41:07.527,61,0,0.072076879,0,0,0,0,0.108397856,0,0.072059363,0.002930598,0,0,0,0.10848394,0,0.000304708,0,0,0,0,0,0,0.001498874,0,0,0.003686207,0.006037663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018324561,0.018459024,0,0,0,0,0,4.67E-07,0.00400309,-0.010089949,-0.00218853,-0.001632556,0.042194758,-0.001436875,-0.004195172,0.042218894,0.001721064
23:15:41:08.530,61,0,0.07191556,0,0,0,0,0.104308374,0,0.071901292,0.002261145,0,0,0,0.104392976,0,0.000314286,0,0,0,0,0,0,0.00162472,0,0,0.003615143,0.005897208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017574398,0.017709525,0,0,0,0,0,5.66E-07,0.00400309,-0.010089949,-0.00218853,-0.001245707,0.042101342,-0.00140754,-0.003795013,0.042125568,0.001744141
